time: 1000000000
155 4 830940 133160 364 29475 4333 750 840 15 101 22 0 1
155 5 810078 144777 391 36251 6031 964 1265 40 170 28 1 5
155 6 820621 138583 306 33110 5282 853 1066 24 120 22 4 9 1
155 7 852527 121281 245 22690 2547 384 288 5 30 3 1
155 8 813485 140546 579 36000 6069 1474 1479 29 255 58 2 23 2
155 9 827461 136679 257 29843 4355 580 729 16 72 9
156 1 851785 119153 134 24679 3370 365 456 17 38 4
156 2 845809 123785 229 25749 3466 441 452 3 54 13
156 3 836102 128229 106 29294 4813 471 831 41 84 23 0 4 1 0 2
156 4 854008 120670 169 22099 2494 282 259 4 14 2
156 5 829495 134457 261 29777 4525 591 758 16 106 14 0 1
156 6 804175 146352 420 38535 7057 1341 1716 48 290 51 2 9 5
156 7 912633 76342 17 10105 828 27 48 0 1
156 8 814495 141346 422 35031 5976 1105 1334 32 213 40 1 5 0 1
156 9 826501 137388 171 30276 4406 475 678 24 72 6 0 4
