time: 1000000000
149 3 858379 116940 214 21452 2348 344 276 4 35 9
149 4 834038 132465 191 28175 3915 532 592 8 76 7 1 1
149 5 926102 66737 1 5424 664 648 396 0 29
149 6 853911 122548 6 18903 1962 1946 615 0 105 5
149 7 832584 136653 4 21837 3830 2607 2131 3 349 3
149 8 881716 102326 0 11279 1897 1793 856 0 125 5 4
149 9 937855 55398 0 4782 1234 470 262
149 10 908181 82550 2 6844 869 993 417 0 134 11
149 11 878194 106568 0 12112 1259 1539 324 0 5
149 12 875640 112983 3 7766 879 1606 731 0 268 30 87 8
149 13 931648 60256 2 6800 510 585 169 0 31
149 14 879047 105372 3 10976 1174 2384 903 0 140 1 1
149 15 877971 101837 2 14983 2736 1919 551 0 2
149 16 896980 99640 0 3381
149 17 910129 80031 0 7955 1020 744 122
149 18 915229 74204 2 7964 1019 1231 345 0 7
149 19 946440 50852 0 2197 329 106 77
149 20 891630 92252 0 11526 1981 1483 931 0 195 3
150 1 920242 70807 12 8283 596 23 36 0 2
150 2 921979 68625 15 8538 728 46 64 4 2
150 3 913895 75384 21 9803 826 27 42 1 2
150 4 918027 73071 9 8344 513 13 23 0 1
150 5 792408 137819 9 49237 7591 9639 2882 11 285 111 8 1
150 6 761276 115724 3 88793 13666 12878 7121 4 533 3
150 7 919077 58441 4 14770 604 4848 1390 0 605 110 145 7
150 8 846431 102053 2 36307 5746 6577 2506 0 364 9 6
150 9 922113 67287 0 8382 769 1118 324 0 8
150 10 866990 93128 3 28439 3984 5001 2252 3 201
150 11 764144 102018 12 84621 16923 16498 13655 0 2057 53 20
150 12 861183 99766 6 27683 1277 7529 2220 0 331 4 2
150 13 884094 93650 0 17797 944 2928 571 0 17
150 14 870076 94199 5 25460 2216 5677 2107 0 248 3 10
150 15 762677 102527 8 86217 3561 28745 13943 0 2197 62 64
150 16 840255 107389 7 36375 1842 10831 2353 0 661 175 97 16
150 17 900628 77776 1 16592 1822 2659 517 0 6
150 18 890748 86041 7 16978 1686 3715 592 0 136 39 58 1
150 19 795414 142738 1 47247 4145 8541 1784 0 131
150 20 819461 85506 7 66275 11170 11187 5912 1 481 0 1
151 1 878150 102369 138 17185 1748 229 163 6 6 7
151 2 848959 123181 129 23955 3024 298 407 6 38 3 0 1
151 3 855906 118519 140 22261 2600 268 276 9 20 2
151 4 838011 128510 136 28085 4111 419 651 11 56 11
151 5 916259 73970 8 7494 424 1255 518 0 73
151 6 939345 57115 0 3050 312 128 51
151 7 885043 93352 0 16701 1737 2517 636 0 15
151 8 821607 127141 4 35568 5987 6062 2860 8 641 69 47 7
151 9 901153 82184 0 12425 1789 1976 467 0 7
151 10 914346 77347 0 7124 684 449 50 0 1
151 11 887989 92954 3 12277 3543 1538 1546 2 146 3
151 12 894108 92685 5 9948 1272 1390 569 0 24
151 13 875220 93012 3 22186 6101 1459 1818 12 186 2 2
151 14 874322 105721 3 14381 1983 2584 920 0 83 3 1
151 15 891707 92851 0 10850 1970 1388 1012 0 167 18 38
151 16 923631 64954 0 8148 2442 209 598 1 18
151 17 918972 69692 3 8308 1019 1500 422 0 71 14
151 18 917427 74981 0 6422 540 521 109 0 1
151 19 907766 89320 0 2915
151 20 916444 69159 5 11159 753 1903 538 0 40
152 1 846410 122441 141 26090 3732 504 589 12 56 21 0 3 2
152 2 849848 119453 142 25714 3705 469 596 13 51 8 0 2
152 3 886953 95242 88 15658 1690 196 164 1 9
152 4 856195 116689 162 23302 2874 363 380 9 22 5
152 5 934219 60365 0 3937 584 715 181
152 6 922641 64629 1 9060 1677 1432 489 0 72
152 7 890861 89119 0 15794 2054 1490 668 0 15
152 8 842358 125720 5 22071 4016 3420 1780 4 409 26 117 74 0 1
152 9 826844 131018 9 30407 3658 6535 1442 0 85 2 1
152 10 758317 113931 6 90239 17421 11928 7679 4 475 1
152 11 884242 90284 1 18804 919 4779 913 0 59
152 12 864201 112996 1 17894 2604 1756 494 0 55
152 13 880878 105983 0 9159 2309 937 730 0 5
152 14 891264 83754 12 17847 1726 4083 1252 0 63
152 15 852412 120296 1 20609 3457 2261 958 0 7
152 16 883056 101621 4 10546 1232 2710 655 0 171 2 4
152 17 926889 65584 0 6043 1001 186 290 0 8
152 18 893113 85484 1 15655 2705 2402 637 0 4
